,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,4.47,4.1,3.95,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42
1,4.1,3.95,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27
2,3.95,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2
3,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2
4,3.8,3.8,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2
5,3.8,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2
6,3.8,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2
7,3.8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05
8,3.8,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05
9,3.8,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05
10,3.72,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2
11,3.72,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05
12,3.65,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05
13,3.42,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05
14,3.27,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05
15,3.2,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05
16,3.2,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05
17,3.2,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97
18,3.2,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97
19,3.2,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97
20,3.05,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9
21,3.05,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9
22,3.05,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9
23,3.2,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9
24,3.05,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9
25,3.05,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9
26,3.05,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82
27,3.05,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82
28,3.05,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75
29,3.05,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75
30,2.97,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75
31,2.97,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75
32,2.97,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6
33,2.9,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45
34,2.9,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67
35,2.9,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67
36,2.9,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1
37,2.9,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05
38,2.9,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9
39,2.82,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82
40,2.82,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75
41,2.75,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67
42,2.75,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45
43,2.75,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45
44,2.75,2.6,2.45,2.67,2.67,4.1,3.05,2.9,2.82,2.75,2.67,2.45,2.45,2.45
